メーカー名,製品名,用途,該当する界面活性剤,直鎖アルキルベンゼンスルホン酸ナトリウム,アルキルグリコシド,アルキルアミンオキシド,塩化ベンザルコニウム,塩化ベンゼトニウム,塩化ジアルキルジメチルアンモニウム,ポリオキシエチレンアルキルエーテル,純石けん分（脂肪酸カリウム）,純石けん分（脂肪酸ナトリウム）,価格
株式会社ダスキン,TuZuKu 持続除菌洗浄剤,住居用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,858
株式会社タナカ化学研究所,除菌クリーナー Clesa+（クレサプラス）,住宅・家具用除菌洗浄剤,塩化ベンザルコニウム,,,,◯,,,,,,1320
株式会社地の塩社,ウォッシュ・ウォッシュ,台所用/住宅用,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,1430
株式会社トーカイ,リースキン キッチンF,台所周り用洗剤,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,638
株式会社トーカイ,リースキン バスクリーナー,浴室用合成洗剤,アルキルアミンオキシド,,,◯,,,,,,,605
株式会社トーカイ,リースキン 中性トイレクリーナー,トイレ用合成洗剤,アルキルアミンオキシド,,,◯,,,,,,,605
株式会社トーカイ,リースキン 業務用除菌トイレクリーナー,トイレ用合成洗剤,ポリオキシエチレンアルキルエーテル、塩化ベンザルコニウム,,,,◯,,,◯,,,836
株式会社ナカヤマ,ハッピークリーンマジック,住宅家具用洗剤,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,3850
株式会社ナカヤマ,ハッピーソイ,住宅家具用洗剤,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,1320
株式会社 ニイタカ,ニイタカ除菌中性洗剤,住宅家具用洗剤対象：台所周り用,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,2790
株式会社 ニイタカ,ニイタカ除菌中性洗剤Ｅ,住宅家具用洗剤対象：台所周り用,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,2790
株式会社 ニイタカ,かんたんクリーナーコンク,住宅家具用洗剤対象：住宅家具用,アルキルアミンオキシド,,,◯,,,,,,,1950
株式会社 ニイタカ,リフレッシュ・ラボ,除菌消臭剤（中性）対象：住宅家具用,アルキルアミンオキシド,,,◯,,,,,,,9141
株式会社 ニイタカ,ニイタカ除菌トイレクリーナー,住宅家具用洗剤対象：トイレ用,アルキルアミンオキシド,,,◯,,,,,,,2189
株式会社 ニイタカ,バスクリーナーコンク,住宅家具用洗剤対象：お風呂用,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,7315
株式会社 ニイタカ,ケミガードふいてウイルス除去,住宅家具用洗剤,アルキルアミンオキシド、塩化ベンザルコニウム,,,◯,◯,,,,,,1639
株式会社 ニイタカ,リフガードふいて消臭&ウイルス除去,住宅家具用洗剤,ポリオキシエチレンアルキルエーテル、塩化ベンザルコニウム,,,,◯,,,◯,,,1848
株式会社 ニイタカ,ノロスター トイレクリーナー,住宅家具用洗剤対象：トイレ用,アルキルアミンオキシド,,,◯,,,,,,,1128
ニッショウ機器株式会社,カビきれい,カビ・汚れ用洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,4180
日本アムウェイ合同株式会社,L.O.C.ハウスクリーナー,住宅家具用洗剤,ポリオキシエチレンアルキルエーテル、アルキルアミンオキシド,,,◯,,,,◯,,,2000
日本アムウェイ合同株式会社,キッチンクリーナー,台所周り用洗剤,アルキルグリコシド、アルキルアミンオキシド,,◯,◯,,,,,,,
日本アムウェイ合同株式会社,ガラスクリーナー,ガラス用洗剤,アルキルアミンオキシド,,,◯,,,,,,,
日本合成洗剤株式会社,ニチゴー泡スプレーオフロ洗剤,住宅用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,94
日本合成洗剤株式会社,ニチゴー泡スプレートイレ洗剤,住宅用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,95
日本合成洗剤株式会社,ニチゴー泡スプレー油汚れクリーナー,住宅用合成洗剤,アルキルアミンオキシド,,,◯,,,,,,,
日本合成洗剤株式会社,ニチゴー泡スプレーガラスクリーナー,住宅用合成洗剤,アルキルグルコシド,,,,,,,,,,
日本シャクリー株式会社,シャクリー ゲット クリーン ベイシック エイチ ツー,台所・住居用洗剤,アルキルグルコシド、ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,1880
日本流通産業株式会社,くらしモア おふろの洗剤,住宅用合成洗剤,ポリオキシエチンアルキルエーテル,,,,,,,,,,78
日本流通産業株式会社,くらしモア トイレの洗剤,住宅用合成洗剤,ポリオキシエチンアルキルエーテル、塩化ベンザルコニウム,,,,◯,,,,,,78
株式会社ハイネリー,トイレクリン,トイレ用,純石けん分（脂肪酸カリウム）、純石けん分（脂肪酸ナトリウム）,,,,,,,,◯,◯,660
株式会社バスクリン,バスピカ,浴室用（お風呂用）洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,124
株式会社バスクリン,バスピカアロマ泡スプレー,浴室用（お風呂用）洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,145
株式会社ハル・インダストリ,ふきとり専用 除菌・消臭スプレー,住宅家具用洗剤,塩化ベンザルコニウム,,,,◯,,,,,,9350
株式会社ブオーノプラス,NANO TOP スプレー 500ml,住宅家具用洗剤,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,1540
株式会社ブオーノプラス,NANO TOP ２倍濃縮詰替用 1L/2L/4L/18L,住宅家具用洗剤,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,2200
株式会社ブオーノプラス,NANO TOP オリーブ入り フォームタイプ 400ml,住宅家具用洗剤,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,1890
株式会社ブオーノプラス,NANO TOP オリーブ入り 詰替用 1L/2L/4L/18L,住宅家具用洗剤,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,2200
プレミアム・カーケア・ジャパン株式会社,オートグリム マルチ・サーフェス・サニタイザー,住宅家具用除菌剤,塩化ジアルキルジメチルアンモニウム,,,,,,◯,,,,1710
株式会社プロスタッフ,オールマイティーマルチクリーナー,住宅家具用洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,790
株式会社ベムパートナー,MAMORU（除菌・抗菌・消臭スプレー）,住宅・家具用洗浄除菌剤,塩化ベンザルコニウム,,,,◯,,,,,,1518
株式会社ベリカ,べリクリーン  エア  除菌・消臭スプレー,住宅・家具の除菌・洗浄,塩化ベンザルコニウム,,,,◯,,,,,,768
ベルテック株式会社,除菌消臭剤サラトル,住宅・施設・設備用除菌消臭剤,塩化ベンザルコニウム,,,,◯,,,,,,1320
マルフクケミファ株式会社,すまいの洗剤,住宅家具用洗剤,アルキルアミンオキシド,,,◯,,,,,,,
